Time,X,Y,Z
7578,-6.2763,-1.5691,11.4542
7582,-3.7658,-0.863,8.0807
7586,2.1967,0.5492,5.9624
7590,6.2763,-1.0199,8.7083
7595,4.7072,0.863,8.8652
7599,-6.5116,0.4707,10.1205
7603,-0.4707,0.863,10.7481
7607,3.295,0.0785,10.6696
7610,0.1569,1.0983,8.7868
7614,2.6674,-1.2553,6.3547
7618,5.2564,2.2751,13.8078
7622,-3.295,2.9812,10.6696
7626,0.4707,-3.4519,7.6884
7630,4.0796,-3.7658,6.2763
7634,-2.2751,1.9613,9.4144
7639,-2.1182,2.5105,12.1602
7643,2.2751,2.432,13.337
7646,1.8044,1.9613,6.0409
7650,-0.5492,-1.726,10.4343
7654,-0.7061,-5.6486,4.7072
7658,-2.3536,3.9227,10.1989
7662,-3.5304,-5.7271,11.4542
7666,0.3138,5.4133,14.6707
7670,2.0398,-1.5691,9.3359
7674,3.3735,-7.3746,5.8055
7678,-1.2553,7.1392,9.9636
7682,-1.1768,0.7061,11.768
7686,-3.7658,-2.9028,10.5912
7690,-1.1768,2.8243,5.1779
7694,1.2553,5.4917,13.6509
7698,-0.3923,-5.0995,5.021
7702,1.5691,5.4917,10.1989
7706,5.884,-1.8044,10.5912
7710,-5.4133,0,6.1978
7714,-1.726,-3.8442,11.768
7718,2.8243,-5.1779,8.7083
7721,-4.5503,-0.7061,11.6111
7726,3.5304,1.5691,5.9624
7730,-2.6674,-2.5105,9.4928
7734,-6.747,9.5713,10.8265
7738,4.2365,-3.4519,7.2961
7742,0.2354,2.1967,11.1404
7746,0.7061,1.4906,2.9028
7750,1.6475,-2.6674,9.1006
7754,-1.9613,2.5105,10.3558
7757,1.1768,-2.8243,8.2376
7761,9.7282,-2.432,11.4542
7766,-20.084,-14.7492,-5.2564
7770,-16.8674,5.884,20.0448
7774,20.0448,1.4906,8.6299
7778,20.0448,-13.1017,8.3945
7782,17.8873,4.2365,12.4741
7786,-4.0796,-3.9227,-5.4133
7790,-10.1205,-2.5105,3.0597
7794,-7.2961,-1.8829,19.2995
7798,-2.6674,3.1381,20.0448
7802,3.6873,-2.9812,2.8243
7806,-1.2553,-0.1569,5.021
7810,-2.9028,-3.2166,15.1415
7814,-20.084,-0.9414,-20.084
7818,-20.084,5.9624,20.0448
7822,-0.6276,-3.8442,20.0448
7826,11.2188,-7.8453,1.1768
7830,20.0448,11.3757,1.9613
7834,20.0448,2.432,9.7282
7838,-13.9647,2.1182,-17.3382
7842,-8.9437,7.2961,13.9647
7846,-12.3956,1.4906,20.0448
7851,-17.1028,-1.2553,7.61
7855,-0.5492,2.1967,2.7459
7859,7.5315,-5.0995,5.5702
7863,9.8066,-3.5304,11.6111
7867,5.4133,0.0785,14.9846
7870,2.7459,1.2553,12.3956
7874,-0.9414,-6.1194,1.6475
7878,0,3.4519,4.3934
7882,-0.9414,-2.2751,14.9846
7886,-0.7845,-4.8641,17.1813
7890,-2.589,6.4332,11.4542
7895,-3.6873,-2.1182,3.8442
7899,1.8044,-1.9613,4.7072
7903,0.863,2.9028,8.7868
7906,3.9227,2.5105,15.3768
7910,13.6509,-1.0983,13.6509
7914,-1.2553,-0.7061,9.6497
7918,-1.4122,-1.4906,8.316
7922,-3.8442,-1.3337,0.1569
7926,-7.3746,6.4332,13.6509
7930,3.295,-4.9426,10.042
7934,0,0.7845,9.8851
7939,5.6486,0.2354,13.4155
7942,-4.3934,-0.3923,1.9613
7946,8.5514,-2.589,8.4729
7950,-2.1182,3.6873,14.5138
7954,-4.4718,-0.6276,10.905
7958,-3.6873,0.7845,8.0022
7962,-1.4906,-4.3934,4.9426
7966,12.2387,0.9414,7.5315
7970,-2.589,2.5105,9.9636
7974,5.021,0,11.6895
7977,2.8243,-1.3337,10.1205
