Time,X,Y,Z
6364,4.4718,-1.4122,6.2763
6368,-4.8641,-1.726,4.9426
6372,-0.4707,0.2354,9.2575
6376,4.2365,2.3536,11.6895
6380,-0.863,-3.295,7.5315
6383,-5.8055,-0.2354,13.494
6387,-5.0995,5.021,9.4928
6391,-4.3934,-1.9613,7.3746
6395,11.768,-2.589,10.042
6400,1.0199,2.8243,8.3945
6404,-6.5901,2.3536,10.7481
6408,-3.8442,-3.7658,4.8641
6412,-2.6674,0.2354,6.4332
6416,9.7282,-2.5105,13.337
6420,1.4906,-0.3138,7.0608
6423,-0.7845,0.5492,7.5315
6427,-4.7072,0.4707,10.3558
6431,2.5105,0,10.3558
6435,3.4519,0.5492,6.8254
6439,7.5315,-5.1779,5.2564
6444,2.1182,3.8442,15.063
6448,2.7459,-2.9028,9.0221
6452,5.6486,-1.8829,12.0033
6455,2.589,4.0796,5.4917
6459,-10.6696,1.0983,8.4729
6463,0.7061,-3.295,9.4928
6467,2.6674,0.1569,6.8254
6471,1.8829,0.7061,10.6696
6475,2.7459,0.0785,7.4531
6479,1.0983,1.4906,9.8066
6483,-4.0796,0,13.2586
6487,2.589,-4.5503,9.4144
6491,3.2166,1.0983,6.747
6495,1.8829,1.5691,7.7669
6499,6.6685,-1.8044,11.0619
6503,11.1404,-0.9414,9.8066
6507,-10.8265,-4.6287,7.5315
6511,-0.6276,1.9613,9.5713
6515,1.4906,-2.0398,3.3735
6519,5.021,-4.7856,15.7691
6522,6.747,5.0995,14.2785
6526,-0.863,-3.1381,8.0022
6531,-2.432,-3.7658,6.0409
6535,-2.5105,-0.6276,4.9426
6539,1.8044,0.0785,18.5934
6543,1.5691,-4.9426,8.9437
6547,-1.726,-2.6674,2.589
6551,2.1967,0.3138,6.1978
6554,2.5105,0.5492,16.7105
6558,-8.7083,0,13.8862
6562,-0.7845,-0.3138,3.2166
6566,5.7271,-3.9227,4.0011
6571,-5.884,5.4917,10.9834
6575,10.042,-1.6475,10.9834
6579,1.0199,-4.6287,14.1216
6583,-3.8442,1.8044,4.5503
6587,0.0785,0.4707,13.1017
6590,-0.5492,1.8044,8.7868
6594,-1.8829,-0.7845,8.2376
6598,3.7658,-0.2354,11.9249
6602,-1.2553,-3.2166,7.2177
6606,-1.9613,-2.3536,6.2763
6610,2.5105,1.4906,13.494
6615,0.4707,-2.6674,12.1602
6619,2.5105,-1.6475,9.4928
6623,1.6475,0.4707,3.0597
6626,4.0796,-2.1967,6.8254
6630,1.1768,-2.589,9.8066
6634,2.6674,3.8442,9.3359
6638,-3.5304,1.0983,15.1415
6642,-2.589,-1.6475,4.6287
6646,-5.0995,4.3934,11.2188
6650,-1.5691,-3.4519,9.6497
6654,9.5713,-2.5105,9.2575
6658,-2.0398,1.8044,9.179
6662,3.4519,0.6276,5.7271
6666,-3.6088,0.6276,10.2774
6670,2.1967,-1.2553,15.6122
6674,-5.1779,-0.4707,0.0785
6678,9.3359,-2.5105,12.0033
6682,4.8641,2.1967,14.5923
6686,-6.5901,-0.863,5.9624
6690,2.589,-0.5492,4.2365
6693,6.4332,-1.5691,12.8663
6697,-0.2354,-0.6276,13.1801
6702,4.0796,-1.3337,10.8265
6706,-5.1779,-1.0983,7.4531
6710,2.9028,1.5691,10.905
6714,-3.5304,-3.1381,10.042
6718,0.3923,-0.6276,5.1779
6722,3.2166,-1.2553,7.2177
6726,12.1602,-0.863,5.7271
6730,0.0785,0.9414,17.0243
6734,0.5492,2.2751,15.063
6737,-11.5326,-0.3138,3.8442
6742,-3.295,-2.8243,7.61
6746,-5.8055,-0.2354,14.0431
6750,-0.2354,0.6276,8.0807
6754,-7.9238,-2.3536,7.61
6758,1.9613,3.5304,6.5901
