Time,X,Y,Z
7196,-0.863,0.2354,15.6122
7200,1.0983,-3.5304,11.1404
7204,0.4707,-2.432,10.042
7208,1.726,-1.2553,4.8641
7213,5.0995,-2.0398,10.9834
7217,1.9613,1.0983,14.1216
7221,-0.9414,3.4519,7.7669
7225,4.8641,-4.0796,9.1006
7228,-2.9812,1.0983,10.042
7232,-5.6486,0.2354,15.7691
7236,1.5691,-2.5105,6.6685
7240,-3.1381,-1.4122,10.1989
7244,0,-7.2961,4.0796
7248,0.3138,2.0398,10.1205
7252,3.7658,2.1182,11.3757
7257,-5.5702,-4.8641,4.0796
7261,3.4519,0.863,12.5525
7264,-5.6486,0.2354,9.5713
7268,0.3138,-4.0011,9.4144
7272,-2.589,2.432,6.747
7276,7.5315,2.7459,6.747
7280,0.6276,-4.0796,8.4729
7284,-2.6674,-2.1967,14.7492
7288,0.3923,-4.5503,8.4729
7292,-1.0199,-1.8044,4.7072
7296,-0.1569,-6.3547,5.2564
7300,2.0398,1.2553,14.4354
7304,3.295,-6.4332,9.2575
7308,0,1.4906,8.4729
7312,8.7868,0.6276,7.2177
7316,-5.4917,1.3337,14.7492
7320,2.6674,-3.0597,6.1194
7324,-0.4707,5.8055,17.4951
7328,-7.5315,-0.7061,4.7072
7331,1.2553,0.3138,5.884
7335,2.5105,-0.5492,11.6111
7340,0.2354,-1.2553,7.4531
7344,2.9812,0,10.042
7348,3.1381,0.3923,11.4542
7352,-5.8055,-0.7845,9.7282
7356,-0.6276,-3.1381,8.2376
7360,3.295,-1.0983,10.042
7363,1.1768,3.0597,14.3569
7367,0.4707,-2.1182,12.0033
7371,0.3138,2.3536,10.905
7375,-1.6475,2.5105,10.5912
7379,1.0983,-7.1392,4.0011
7384,-2.9028,3.7658,12.1602
7388,-0.3138,-0.4707,8.5514
7392,-1.726,-3.9227,8.7868
7396,-7.3746,0.5492,5.9624
7399,8.0022,1.9613,13.7293
7403,-0.863,-1.9613,11.1404
7407,-0.7845,1.0199,10.4343
7411,7.4531,-3.1381,1.3337
7415,1.3337,1.0983,8.2376
7419,-0.7845,1.4906,12.1602
7424,0.2354,-4.7856,9.5713
7428,0,-1.8829,8.9437
7432,-9.4928,0.9414,9.5713
7435,0.9414,1.8829,7.3746
7439,7.7669,0.4707,11.3757
7443,-3.9227,-6.5901,11.2973
7447,8.5514,8.7083,13.494
7451,-0.9414,-1.4122,1.8829
7455,2.6674,0.1569,8.6299
7459,-6.9039,-0.9414,11.2188
7463,-9.0221,-1.8044,18.4365
7468,-3.4519,-5.0995,3.8442
7472,7.61,-2.3536,1.5691
7475,4.3934,3.4519,8.6299
7479,6.1194,-0.3138,17.1813
7483,-5.9624,1.4906,11.8464
7487,-3.1381,-4.0011,7.7669
7491,-0.2354,0,11.2973
7495,4.7072,5.3348,11.2188
7499,0.7845,-4.4718,6.6685
7503,-5.8055,-0.3923,15.063
7507,-11.768,-1.0199,3.295
7511,-1.8829,-2.1182,12.5525
7515,-2.9812,1.2553,6.1978
7519,4.8641,-3.7658,8.0807
7523,2.5105,0.7061,9.0221
7527,-3.9227,-0.4707,7.7669
7531,-4.7856,-2.432,13.5724
7535,-2.8243,-0.2354,6.9039
7539,6.8254,-1.2553,6.0409
7543,2.3536,2.589,8.5514
7546,3.1381,-5.4133,6.5116
7550,1.0199,0,7.8453
7555,-4.0011,0.0785,9.8851
7559,0.6276,0,11.2188
7563,4.4718,0,11.768
7567,-9.8851,1.1768,6.5116
7571,8.3945,-4.7856,9.0221
7574,0.3138,2.8243,10.042
7578,-6.2763,-1.5691,11.4542
7582,-3.7658,-0.863,8.0807
7586,2.1967,0.5492,5.9624
7590,6.2763,-1.0199,8.7083
