Time,X,Y,Z
2737,0.863,0.0785,12.5525
2741,4.4718,-1.0199,10.042
2744,0,-0.5492,4.4718
2748,5.021,-0.7845,9.4144
2752,6.0409,1.9613,14.0431
2756,0.7061,0.3923,8.9437
2760,-5.8055,-1.6475,1.8044
2764,4.8641,1.4122,9.4144
2768,-0.5492,-1.4122,8.4729
2772,2.9812,-2.2751,7.4531
2776,7.61,-0.3138,14.2
2780,-9.179,0.1569,8.3945
2784,0.9414,-3.6088,8.7868
2788,6.5116,1.8829,11.2973
2792,-1.6475,0.3138,12.3956
2796,-2.2751,-0.5492,6.8254
2800,3.3735,-4.4718,9.8851
2804,4.3934,2.5105,12.631
2808,-6.8254,-0.7845,8.4729
2811,5.8055,0,10.1989
2816,-6.3547,5.1779,6.5901
2820,2.3536,-1.3337,14.9846
2824,0.2354,-0.5492,9.5713
2828,-3.8442,-2.9028,3.0597
2832,11.2188,-2.5105,10.042
2836,-2.2751,2.7459,6.9039
2840,9.4928,-6.8254,12.8663
2844,2.9812,3.1381,5.5702
2847,-1.9613,1.2553,10.5127
2851,-12.0818,3.9227,13.0232
2855,0.9414,-1.0983,3.8442
2860,5.884,-4.0011,11.4542
2864,0,-4.3934,13.494
2868,-1.6475,2.432,8.3945
2872,-3.7658,-2.5105,5.1779
2876,1.5691,3.295,14.2785
2880,-3.7658,2.5105,11.4542
2884,-0.863,-2.6674,4.3149
2887,4.8641,-5.1779,10.7481
2891,0,4.4718,10.9834
2895,-2.0398,-3.3735,10.2774
2899,-0.3138,4.6287,11.6895
2904,0.7845,-1.3337,6.9823
2908,3.9227,-5.0995,6.9039
2912,1.0983,2.5105,9.8851
2916,-3.1381,0.9414,9.7282
2920,1.2553,1.8829,18.2011
2923,-20.084,-10.5912,-9.1006
2927,-20.084,12.0033,20.0448
2931,20.0448,15.8475,4.0796
2935,20.0448,-11.5326,6.1978
2939,16.9459,7.5315,14.0431
2944,-5.021,-3.0597,-7.61
2948,-5.021,-0.6276,4.0796
2952,-12.3172,-1.2553,20.0448
2956,-6.9823,3.5304,19.1426
2960,7.6884,-2.6674,2.5105
2964,2.9812,0.3138,6.9039
2968,-5.0995,-4.6287,15.4553
2972,-20.084,-0.3923,-20.084
2976,-20.084,1.6475,20.0448
2980,-8.0022,16.8674,17.5735
2984,20.0448,-9.8066,-5.9624
2988,20.0448,0.7845,4.2365
2992,20.0448,6.9823,11.1404
2996,-20.084,-9.4928,-10.5912
3000,-6.3547,5.2564,9.4144
3004,-8.316,11.9249,20.0448
3008,-14.8277,0.3923,5.0995
3012,14.1216,0,0.6276
3016,5.8055,-6.3547,5.021
3020,3.2166,0.1569,9.1006
3024,1.5691,-2.1967,18.8288
3028,-2.1967,3.3735,13.337
3032,-13.8862,0.3923,2.6674
3036,11.2973,-0.5492,-2.3536
3040,3.7658,5.7271,17.1028
3044,-5.1779,-3.3735,18.358
3048,3.0597,-4.2365,5.9624
3052,-11.2973,7.2961,9.4144
3056,-0.4707,-11.6895,2.9812
3060,2.1182,8.0807,2.5105
3064,16.8674,-1.0983,15.6122
3068,-2.0398,5.8055,17.9658
3073,-6.2763,-2.6674,8.6299
3077,-6.8254,-6.9823,4.5503
3080,-5.6486,4.3149,7.61
3084,-0.3923,-1.2553,11.1404
3088,10.1205,-2.9812,6.5901
3092,4.0011,6.3547,14.9846
3096,2.0398,1.8044,8.2376
3100,-5.5702,-6.1978,5.3348
3104,-4.7072,-0.7845,8.316
3108,-9.3359,0.3923,10.2774
3112,16.4752,-2.432,10.905
3116,1.5691,2.1182,12.8663
3120,-5.6486,-4.158,4.0011
3124,5.8055,-0.6276,6.3547
3128,1.1768,-3.0597,12.1602
3132,8.1591,-1.2553,12.3172
3136,-2.3536,2.8243,7.3746
