Time,X,Y,Z
8034,-3.1381,-2.3536,2.5105
8038,4.3934,-1.6475,5.021
8042,-4.4718,2.5105,10.2774
8046,0.6276,1.4122,15.063
8050,0.2354,-3.0597,6.3547
8054,4.8641,0.863,5.5702
8057,-2.6674,2.589,13.337
8061,0.9414,0.5492,4.8641
8066,2.6674,2.5105,13.5724
8070,2.5105,-1.0199,5.884
8074,-2.589,-3.5304,9.7282
8078,-7.5315,0.2354,7.5315
8082,-1.6475,-0.2354,11.6111
8086,5.7271,-6.3547,14.7492
8090,-1.9613,2.3536,3.295
8093,7.5315,-1.726,10.1205
8097,2.9812,1.0199,14.2785
8101,-5.2564,-2.0398,8.2376
8105,1.4906,3.0597,6.1194
8110,5.3348,2.5105,4.6287
8114,1.3337,-2.8243,8.2376
8118,5.884,-2.5105,15.6122
8122,-12.5525,0.5492,5.6486
8126,3.0597,-1.0199,8.2376
8129,9.6497,-4.0011,5.8055
8133,4.3149,-2.9028,12.3172
8137,-2.5105,4.2365,19.0641
8141,0.5492,-3.1381,4.7072
8145,-1.5691,1.5691,7.0608
8150,-3.9227,2.1182,10.1989
8154,3.1381,2.0398,12.3172
8158,5.0995,-4.0796,8.316
8162,0.6276,-3.7658,5.2564
8165,2.432,0.5492,11.1404
8169,0.9414,-1.2553,11.8464
8173,-7.9238,-0.5492,12.7094
8177,0.0785,-1.4122,10.1989
8181,-4.3934,-3.3735,2.7459
8185,0.6276,0.1569,10.3558
8189,3.5304,-2.2751,11.3757
8194,3.1381,-1.0983,9.4144
8198,1.5691,-4.7856,4.0011
8202,1.8829,5.021,16.7105
8205,-3.9227,-4.158,6.4332
8209,-3.0597,-1.0983,6.9039
8213,0.7061,2.9028,16.9459
8217,-0.4707,-1.4122,9.0221
8221,1.9613,-2.3536,5.2564
8225,-1.2553,4.3149,11.4542
8229,0.6276,-0.863,12.3172
8233,-1.5691,-2.9028,6.9823
8238,1.4906,0.0785,7.0608
8241,5.9624,-1.4906,9.2575
8245,-0.5492,-2.9028,8.9437
8249,1.8829,-2.0398,12.7094
8253,-3.1381,3.6088,16.0045
8257,-8.6299,-3.5304,2.3536
8261,1.0983,2.3536,7.7669
8265,6.0409,0.863,10.3558
8269,4.3934,-3.9227,12.1602
8273,4.8641,-0.3138,5.3348
8276,-0.5492,0.863,8.6299
8281,-4.3934,-3.6088,7.6884
8285,10.1989,-1.5691,12.0033
8289,-6.8254,2.5105,7.61
8293,2.432,-0.2354,12.1602
8297,-5.4133,-1.8829,6.5901
8301,-2.6674,1.0983,7.61
8305,-1.8829,0.3923,13.8078
8309,4.2365,-3.4519,6.747
8312,4.7856,-2.2751,9.8851
8316,-3.2166,1.0983,10.1205
8321,4.3934,0.3923,4.0796
8325,5.5702,-3.6088,10.6696
8329,3.5304,2.5105,16.0829
8333,-9.9636,-1.0983,4.3934
8337,-1.1768,-0.2354,8.8652
8341,3.0597,2.1182,9.5713
8344,-3.6873,1.8044,11.2188
8348,5.9624,-0.7061,8.7868
8352,1.0983,2.5105,9.4144
8356,-6.5116,-6.4332,10.1989
8360,4.2365,-0.863,15.6122
8365,-1.5691,2.7459,10.6696
8369,-4.0796,-4.158,10.8265
8373,-3.1381,0.4707,11.6111
8377,-6.5901,1.0983,8.3945
8381,1.0983,-0.9414,10.6696
8385,-5.884,-0.2354,9.3359
8388,-7.1392,-3.5304,17.5735
8392,-4.7856,1.726,8.0022
8396,2.3536,-1.3337,3.5304
8400,-4.7856,-2.1967,14.5138
8404,7.5315,1.0983,6.4332
8409,1.1768,-1.2553,5.9624
8413,15.1415,-3.9227,13.2586
8417,1.4906,-1.0199,7.61
8421,-3.1381,0.0785,6.2763
8424,0.3138,-1.0199,13.494
8428,0.4707,-1.1768,6.2763
