Time,X,Y,Z
8392,-4.7856,1.726,8.0022
8396,2.3536,-1.3337,3.5304
8400,-4.7856,-2.1967,14.5138
8404,7.5315,1.0983,6.4332
8409,1.1768,-1.2553,5.9624
8413,15.1415,-3.9227,13.2586
8417,1.4906,-1.0199,7.61
8421,-3.1381,0.0785,6.2763
8424,0.3138,-1.0199,13.494
8428,0.4707,-1.1768,6.2763
8432,-6.747,2.0398,14.2
8436,-9.2575,-2.8243,8.7083
8440,6.9823,4.7072,5.6486
8444,9.7282,-2.9028,9.179
8449,5.021,-0.863,16.1614
8453,-4.7856,0.3138,8.316
8457,-2.9812,-0.7061,11.1404
8460,2.7459,-0.9414,6.5901
8464,-2.7459,0,12.7879
8468,1.3337,-0.7061,6.6685
8472,3.5304,2.589,7.1392
8476,-0.9414,0.3138,12.7879
8480,-7.0608,-0.6276,9.8066
8484,-2.6674,1.2553,9.7282
8488,2.1182,3.8442,11.2973
8492,5.2564,-1.0983,7.2961
8496,9.2575,-1.4906,7.2961
8500,-7.0608,0.1569,7.1392
8504,10.042,0.2354,10.3558
8508,-6.2763,-1.0983,6.747
8512,-2.1182,-8.1591,14.6707
8516,2.9028,6.1978,2.6674
8520,-4.4718,-3.8442,9.9636
8524,-0.863,3.3735,12.1602
8528,-3.6873,-2.589,11.9249
8531,10.9834,-3.4519,8.1591
8536,-5.1779,-4.4718,7.1392
8540,-4.3934,3.6088,10.042
8544,2.9028,0.6276,8.1591
8548,4.5503,-1.0983,17.0243
8552,-4.0011,0.3923,8.5514
8556,2.5105,-2.6674,7.2177
8560,-3.4519,-1.8044,10.2774
8564,-3.9227,4.0011,6.4332
8567,6.9823,-0.863,15.2199
8571,-0.2354,-2.9028,5.6486
8576,2.2751,-4.158,8.9437
8580,-3.1381,3.0597,11.9249
8584,2.9812,2.9812,10.4343
8588,1.4906,-1.4906,1.2553
8592,20.0448,18.1227,18.2796
8596,9.5713,-6.1194,-13.4155
8600,10.8265,-0.3923,11.768
8604,20.0448,5.2564,-6.1194
8608,12.7879,8.9437,1.4906
8612,-12.0818,5.7271,5.7271
8616,-20.084,5.5702,8.6299
8620,-3.2166,-5.9624,20.0448
8624,-1.4906,2.9812,6.5901
8628,9.0221,-2.7459,-0.6276
8632,13.9647,-2.6674,4.158
8636,-6.2763,2.1967,10.9834
8640,0.0785,-1.0983,13.2586
8644,3.1381,-2.9812,12.7879
8648,1.0983,3.0597,8.7868
8652,-3.2166,-2.1182,5.7271
8656,0.5492,-4.0011,7.5315
8659,-7.61,2.5105,14.4354
8664,6.747,-2.5105,13.8078
8668,1.9613,0.7061,6.9039
8672,2.5105,2.7459,10.6696
8676,3.4519,-1.8044,10.042
8680,-9.6497,-2.7459,12.8663
8684,-3.5304,-0.9414,13.6509
8688,-2.0398,-0.1569,5.6486
8692,5.3348,-1.726,3.7658
8695,5.884,-1.5691,9.2575
8699,-1.4906,2.3536,11.3757
8704,0.6276,0.3923,12.0033
8708,-1.726,-2.3536,10.4343
8712,-5.884,-1.726,7.5315
8716,1.2553,-4.158,6.2763
8720,0.863,1.5691,11.6895
8724,5.6486,-1.4906,11.1404
8728,-1.6475,-3.8442,10.5912
8732,-0.9414,3.6088,9.8066
8735,0.4707,-3.2166,8.9437
8739,4.3934,-1.4906,5.6486
8743,4.7072,0.863,10.5127
8748,0.3923,0.5492,11.3757
8752,-2.1967,-1.9613,12.2387
8756,-2.7459,-2.5105,8.7868
8760,-12.0818,-2.3536,8.0022
8764,3.6873,-4.7856,10.3558
8768,5.2564,0.4707,10.4343
8772,3.295,-0.863,8.8652
8775,3.9227,0.863,14.1216
8779,-1.4122,2.8243,6.6685
8783,1.5691,-6.3547,10.3558
8787,-4.158,1.2553,12.4741
8792,4.4718,3.6873,8.5514
