Time,X,Y,Z
5571,-3.295,-2.5105,10.5127
5575,1.4906,-0.2354,7.3746
5579,1.4906,-8.5514,1.3337
5582,5.021,0.3923,12.3956
5586,2.1967,0.6276,13.0232
5591,-1.8044,1.1768,7.7669
5595,2.432,-3.8442,8.1591
5599,0.0785,-4.0011,9.6497
5603,-1.4906,2.589,9.8851
5607,-0.3923,3.5304,8.1591
5611,1.8829,-7.1392,10.042
5615,-2.9028,1.6475,8.0022
5618,-0.5492,-0.3138,12.3172
5622,5.5702,-3.295,7.5315
5626,-2.5105,2.8243,12.2387
5630,-4.5503,-7.2961,8.0022
5635,-2.5105,-2.5105,6.1194
5639,0.7845,2.6674,8.7083
5643,-1.3337,-1.726,8.2376
5647,3.9227,-1.8044,15.3768
5651,-8.7868,0,9.8066
5654,0,0.0785,11.5326
5658,-4.3934,-1.2553,4.4718
5662,7.0608,2.5105,6.5901
5666,2.5105,-1.9613,12.5525
5670,-2.9812,-0.4707,15.6122
5675,-3.0597,-4.9426,3.4519
5679,5.4133,-1.726,8.5514
5683,-1.4122,-0.5492,13.494
5686,1.2553,-2.6674,7.5315
5690,6.2763,-2.432,8.0807
5694,2.432,5.9624,13.1017
5698,2.9812,0.5492,9.0221
5702,-3.2166,-4.8641,7.4531
5706,0.0785,-4.0796,6.6685
5710,-5.5702,9.8851,11.1404
5714,0.863,-3.3735,10.042
5719,-0.6276,2.1967,8.316
5722,4.2365,-2.2751,11.1404
5726,0.3138,-3.7658,5.7271
5730,-8.0807,3.3735,7.5315
5734,0,-1.1768,10.8265
5738,-1.1768,-2.7459,8.0807
5742,5.9624,0.863,9.4144
5746,0.2354,2.6674,10.5127
5750,1.0983,0.5492,12.5525
5753,-0.9414,-2.2751,8.4729
5757,-1.5691,-0.6276,11.8464
5762,-1.9613,-3.6873,6.6685
5766,3.7658,-1.0983,8.0807
5770,-3.7658,2.2751,15.6122
5774,-0.863,-4.0011,4.6287
5778,8.9437,-3.9227,5.0995
5782,-1.0983,5.7271,8.8652
5786,9.3359,-2.6674,11.8464
5789,-3.4519,-3.2166,8.4729
5793,3.7658,0,10.042
5797,4.2365,-0.3138,3.3735
5801,1.9613,0.1569,6.8254
5806,5.6486,0.4707,15.3768
5810,-4.0796,-2.432,11.6895
5814,-1.2553,-4.3149,10.7481
5818,-6.5901,-1.9613,1.5691
5822,0.7061,0,3.7658
5825,12.631,3.2166,18.2796
5829,-6.3547,-8.0022,11.8464
5833,-5.021,7.2177,10.042
5837,0.0785,-7.0608,3.295
5841,9.2575,1.3337,6.0409
5846,-4.2365,0,10.9834
5850,-7.4531,-0.6276,16.7105
5854,-10.042,-0.863,7.4531
5858,1.6475,-2.1182,6.1978
5861,4.2365,-4.7856,6.9823
5865,11.6111,2.5105,8.7868
5869,-3.6088,-0.2354,14.5923
5873,-1.5691,-2.2751,9.0221
5877,-6.5901,-1.5691,8.1591
5881,7.8453,1.4906,9.3359
5885,0.2354,-1.1768,5.2564
5890,2.6674,0,10.4343
5894,-5.5702,-1.1768,7.8453
5897,-2.0398,-2.589,14.1216
5901,2.6674,4.0011,8.7868
5905,2.432,-2.3536,11.1404
5909,1.1768,1.0983,7.5315
5913,-4.6287,1.5691,8.2376
5917,-2.589,-5.3348,13.7293
5921,-6.5901,4.6287,9.2575
5925,5.6486,-2.5105,3.5304
5929,7.6884,-0.3138,13.337
5933,-2.7459,5.0995,14.3569
5937,-11.2973,-4.5503,11.2973
5941,-4.0011,-3.2166,6.9823
5945,1.4122,0.0785,3.295
5949,17.9658,-6.747,9.7282
5953,-4.5503,4.7856,13.6509
5957,-5.9624,-2.9028,8.1591
5961,6.9039,-4.158,5.021
5965,5.021,-0.3923,13.2586
