Time,X,Y,Z
1936,-1.4122,0,6.1194
1940,3.4519,-7.2177,8.2376
1944,6.5901,4.0011,18.4365
1948,1.3337,2.1182,6.0409
1951,2.8243,-0.6276,4.2365
1955,-2.3536,-2.9812,10.042
1959,-0.4707,0.863,17.7304
1964,2.7459,-2.5105,8.316
1968,0.1569,0.5492,7.5315
1972,-2.2751,-1.6475,5.9624
1976,-0.7061,2.589,12.3956
1980,2.5105,-2.6674,8.7868
1984,2.6674,2.0398,12.4741
1987,7.1392,-0.9414,9.0221
1991,-5.0995,1.4122,8.7083
1995,0,-1.0983,12.2387
1999,-2.8243,2.7459,10.2774
2003,2.0398,-2.1182,7.5315
2008,-6.0409,-2.9028,9.8851
2012,5.021,-3.295,9.8066
2016,9.6497,5.3348,9.7282
2019,-1.5691,-3.4519,11.9249
2023,-0.3138,-0.1569,7.6884
2027,-0.863,1.5691,10.1989
2031,3.9227,-1.9613,9.6497
2035,7.3746,0.6276,14.9846
2039,5.4917,-1.726,4.7072
2043,-5.0995,2.0398,5.3348
2048,3.2166,2.1967,11.6895
2052,-5.2564,-1.726,11.2188
2056,5.7271,-2.5105,7.5315
2059,7.7669,3.6873,7.4531
2063,1.1768,-4.7856,8.8652
2067,-3.295,0.5492,13.494
2071,-5.1779,-1.2553,11.2188
2075,8.4729,-2.589,8.0807
2079,0.863,-0.1569,6.747
2083,-3.7658,3.4519,9.6497
2087,1.4906,2.9812,10.5127
2092,-3.1381,3.8442,14.1216
2095,-2.8243,-0.7845,7.4531
2099,-5.0995,-5.5702,10.5127
2103,-7.2177,-0.5492,9.3359
2107,-5.2564,0.1569,8.2376
2111,1.0983,0.6276,11.1404
2115,3.7658,1.8829,7.9238
2119,6.747,-4.158,8.2376
2123,0.7845,0.5492,11.1404
2127,-1.9613,5.6486,10.905
2130,3.4519,2.1967,3.7658
2135,20.0448,18.0442,14.3569
2139,20.0448,-5.1779,-20.084
2143,8.0807,-4.4718,13.4155
2147,20.0448,-5.5702,2.589
2151,20.0448,-2.5105,16.3183
2155,-15.8475,-1.5691,12.4741
2159,-20.084,2.9812,16.3183
2163,-8.1591,4.8641,14.9061
2167,11.0619,-4.4718,4.158
2171,15.926,-5.6486,4.9426
2176,4.5503,1.2553,7.8453
2180,-10.7481,-0.2354,13.8862
2184,4.5503,0.5492,12.0033
2187,0.2354,-1.8044,12.5525
2191,1.3337,-1.9613,6.9039
2195,1.726,-6.5901,3.6873
2199,-6.0409,3.4519,8.9437
2203,-2.589,1.8829,13.7293
2207,4.0011,3.7658,11.5326
2211,1.8829,-0.6276,10.1989
2215,-0.2354,0,12.631
2220,1.5691,-3.0597,5.1779
2223,-7.5315,-9.2575,7.5315
2227,-0.5492,0.863,14.2785
2231,-5.021,6.6685,9.3359
2235,4.9426,-4.7856,8.8652
2239,-1.6475,-1.0983,7.61
2243,1.726,-0.3138,11.2188
2247,4.2365,-1.3337,15.926
2251,-7.61,3.7658,8.316
2255,-2.3536,1.2553,7.3746
2258,-4.0011,-0.9414,7.4531
2263,8.6299,-1.726,10.5912
2267,-1.8044,0.9414,8.7083
2271,-3.8442,-0.6276,14.2
2275,0.2354,1.2553,7.3746
2279,-0.3923,-5.1779,9.7282
2283,3.9227,-0.9414,10.042
2287,1.4122,2.1967,7.7669
2291,2.6674,0.863,7.8453
2294,2.1967,-1.9613,15.6122
2298,2.589,2.5105,6.2763
2302,-4.158,-2.1967,5.2564
2307,2.1967,-1.4906,9.4144
2311,-0.7061,0.863,11.8464
2315,0.9414,-2.8243,6.6685
2319,-2.7459,0.2354,14.2
2323,-0.3923,0.5492,2.6674
2327,-0.2354,-6.3547,9.179
2330,-2.2751,0.4707,15.063
2334,6.8254,-0.5492,9.8851
