Time,X,Y,Z
3554,-1.8044,-3.6088,6.3547
3558,2.5105,2.2751,15.6906
3562,0.863,-0.4707,9.179
3566,-0.7061,1.5691,4.7856
3570,-3.295,-0.3138,7.5315
3574,4.3934,-3.1381,14.5923
3578,4.7856,-2.432,7.9238
3582,-0.5492,-2.0398,7.2177
3586,-0.7845,-4.6287,8.8652
3590,-5.6486,4.4718,15.6122
3594,-5.1779,-3.1381,7.3746
3598,14.1216,0.6276,7.8453
3602,5.884,-4.9426,4.2365
3606,0.9414,2.1967,13.1801
3610,-3.4519,0.9414,11.8464
3614,-6.3547,2.6674,10.1989
3618,1.4122,-1.8044,7.2177
3622,-1.3337,-2.5105,10.5912
3627,1.1768,-0.4707,13.0232
3630,0.4707,2.6674,9.4928
3634,-3.0597,-1.8829,12.2387
3638,-6.4332,-2.589,3.5304
3642,-0.3138,0.7845,8.7868
3646,2.5105,1.8829,9.8851
3650,4.8641,-1.9613,9.179
3654,4.0796,-3.0597,3.7658
3658,-4.5503,0.2354,2.9812
3661,6.1978,2.432,13.1801
3665,2.0398,-3.1381,8.4729
3670,3.3735,-7.3746,6.3547
3674,-1.2553,-2.2751,1.9613
3678,-2.9812,0.1569,10.2774
3682,-0.3923,-0.7061,9.8851
3686,-1.4122,3.7658,13.9647
3690,11.3757,3.1381,9.4144
3694,-1.726,-5.1779,8.2376
3697,1.3337,1.1768,11.2188
3701,-6.1978,3.2166,7.1392
3705,2.589,3.8442,11.9249
3709,1.726,0.2354,5.1779
3714,2.6674,-2.589,6.6685
3718,2.432,-1.8044,14.0431
3722,-3.9227,4.158,8.3945
3726,0.1569,2.9812,19.3779
3730,0.7845,-5.9624,5.6486
3733,5.2564,-2.6674,9.1006
3737,-3.6873,2.1967,11.6111
3741,5.9624,1.9613,11.6111
3745,-0.7845,0.0785,3.6088
3749,20.0448,8.0022,20.0448
3753,20.0448,-3.5304,-14.9061
3758,4.7856,10.7481,20.0448
3762,20.0448,-1.5691,-14.7492
3766,10.1989,8.316,2.7459
3770,0.0785,-1.9613,4.3149
3774,-14.2,2.9028,19.6133
3778,-8.2376,0.7845,20.0448
3782,0.4707,-3.2166,6.8254
3785,9.1006,-0.7845,2.0398
3789,4.158,-2.589,9.0221
3793,4.8641,-2.2751,6.9039
3798,1.1768,6.0409,12.4741
3802,-1.8829,1.0199,14.8277
3806,5.6486,-1.0199,7.0608
3810,0,-2.9812,6.2763
3814,-1.726,3.6873,10.8265
3817,-1.4906,0.2354,5.3348
3821,1.3337,7.0608,12.5525
3825,6.2763,-1.1768,11.3757
3829,0.2354,-1.9613,8.0807
3833,1.5691,-0.1569,3.7658
3837,-1.4122,-7.2177,7.1392
3842,-5.4917,-0.7061,14.0431
3846,-6.1194,1.3337,9.4928
3850,5.9624,-5.4133,6.8254
3853,-1.9613,1.8829,6.9039
3857,1.0983,3.4519,10.4343
3861,3.295,-5.1779,15.6122
3865,-6.4332,2.432,7.0608
3869,-3.1381,-2.5105,6.9823
3873,-2.1967,0.3138,9.1006
3877,1.8044,1.0983,10.7481
3881,0.6276,-2.432,7.3746
3886,1.5691,-0.3923,14.2
3889,-3.0597,3.295,7.8453
3893,1.9613,-4.9426,10.042
3897,4.0011,-0.2354,9.2575
3901,1.726,0.6276,8.8652
3905,1.9613,-1.0199,9.4928
3909,-5.1779,0.3138,15.7691
3913,-2.3536,2.5105,9.4144
3917,-1.8829,-5.5702,7.6884
3921,2.5105,-3.5304,9.4928
3924,-5.4917,1.2553,10.9834
3929,2.9812,-1.0199,9.0221
3933,-5.021,0.3138,11.6895
3937,3.6873,-0.1569,8.4729
3941,0.7845,-3.4519,6.9039
3945,-2.8243,3.2166,10.3558
3949,4.8641,1.0199,11.1404
3953,1.2553,0.863,9.2575
