Time,X,Y,Z
5176,-0.1569,-1.4122,10.042
5180,-0.4707,2.6674,4.8641
5184,-5.6486,1.6475,10.905
5188,-2.7459,-3.4519,10.8265
5192,8.7083,-2.0398,6.8254
5196,1.0983,2.0398,5.7271
5200,-1.3337,-4.7072,10.1989
5203,-3.5304,3.8442,10.3558
5208,-6.2763,-3.8442,5.4917
5212,11.3757,0.7061,12.0033
5216,7.5315,-3.9227,4.0796
5220,1.8044,3.3735,14.5138
5224,-3.6873,0.3923,10.042
5228,-3.4519,0,8.4729
5232,1.4122,-0.3138,6.5901
5236,0.4707,-0.4707,15.3768
5239,3.5304,4.4718,8.3945
5243,-1.726,1.0983,9.0221
5248,-3.8442,-1.8829,16.9459
5252,-11.6111,-2.1182,8.0807
5256,-0.4707,0.3138,11.6895
5260,-3.6873,2.8243,8.0807
5264,7.2177,0,4.3934
5268,9.8851,-5.021,6.2763
5272,-2.9028,-2.2751,7.8453
5275,-0.3923,4.2365,13.5724
5279,0.3138,-2.5105,10.042
5283,1.726,-1.4122,9.3359
5287,-0.863,-3.295,2.7459
5292,3.295,-4.2365,12.1602
5296,-1.726,4.0011,7.6884
5300,-5.6486,6.5901,12.8663
5304,15.1415,0.6276,5.884
5308,-4.6287,-1.2553,10.905
5312,5.1779,0.7061,18.5934
5315,-4.2365,-2.1967,4.5503
5319,6.5116,2.2751,14.2785
5323,-3.6873,1.2553,7.4531
5327,5.021,2.1182,8.4729
5331,0,0.3138,12.7094
5336,-3.5304,0.6276,8.1591
5340,-3.6873,3.7658,13.494
5344,0.4707,0.3138,8.1591
5347,11.0619,-2.5105,16.5536
5351,-9.7282,6.8254,11.6111
5355,5.5702,-1.4122,13.494
5359,0.5492,1.6475,4.7856
5363,20.0448,9.4144,18.4365
5367,20.0448,-8.1591,-18.9072
5371,1.0983,1.8829,20.0448
5376,20.0448,4.7072,-9.8851
5380,10.042,2.7459,0.9414
5384,-8.4729,8.7083,6.1978
5388,-20.084,6.5116,20.0448
5392,-1.4122,-0.5492,20.0448
5395,-0.4707,-2.432,6.5901
5399,11.5326,-6.1194,-0.1569
5403,2.3536,-0.7845,6.9823
5407,-4.8641,-1.1768,10.5912
5411,8.9437,3.6873,13.494
5415,-2.9812,-2.3536,12.2387
5420,2.432,-1.1768,6.2763
5424,-3.9227,0.9414,11.6111
5428,4.7072,-1.0199,12.5525
5432,-1.5691,-4.8641,4.5503
5436,1.9613,6.6685,10.042
5439,3.7658,-0.9414,13.494
5443,4.0011,-7.0608,10.7481
5447,-0.3923,-2.1182,9.0221
5451,-1.5691,-8.3945,9.6497
5455,-5.3348,1.5691,9.1006
5459,-4.4718,1.726,5.8055
5464,7.6884,-7.2177,8.4729
5468,1.1768,-1.1768,8.316
5472,-5.0995,1.6475,7.5315
5475,4.4718,-1.8044,12.2387
5479,0,-1.0983,1.4906
5483,8.8652,-2.2751,8.5514
5487,-2.9812,-1.1768,10.8265
5491,3.0597,3.6088,9.4928
5495,-2.1182,-2.6674,6.4332
5499,2.0398,-2.3536,13.8078
5504,-4.3934,3.3735,10.6696
5507,1.4122,-2.6674,11.1404
5511,4.9426,-0.5492,6.2763
5515,2.3536,0.2354,6.747
5519,0.7845,-3.295,10.3558
5523,-9.179,0.7061,13.8862
5527,-1.5691,2.5105,9.6497
5531,-5.6486,-5.6486,6.9039
5535,0.5492,-2.1182,7.9238
5539,-3.7658,1.2553,11.2973
5543,2.7459,-1.9613,9.7282
5547,-4.7072,1.4906,10.9834
5551,2.6674,-5.4917,5.9624
5555,3.6873,-2.432,7.3746
5559,-2.2751,4.3934,11.5326
5563,2.6674,1.1768,12.8663
5567,-0.6276,0.7845,8.4729
5571,-3.295,-2.5105,10.5127
5575,1.4906,-0.2354,7.3746
